id,name,status,source,shop_url,image_url,local_image_path
1,ENEDO OPUS HE WMC 110-2000 F HLEÐSLUTÆKI,skipped_existing,,,,/static/inventory_images/products/reykjafell_1.jpg
2,ENEDO OPUS HE WMC 24-1500 F HLEÐSLUTÆKI,skipped_existing,,,,/static/inventory_images/products/reykjafell_2.jpg
3,Fjöður 118021 Uppá Öxul Fyrir Varhlíf Á Vinnut.,skipped_existing,,,,/static/inventory_images/products/iskraft_3.webp
4,"Vinnut. Varhlíf 35016-k, F. Mini U32 & Mini 16, 11m.",skipped_existing,,,,/static/inventory_images/products/iskraft_4.webp
5,"Vinnut.Blindur Go/Gf 72x72mm, 34108",skipped_existing,,,,/static/inventory_images/products/iskraft_5.webp
6,"Vinnut.Blá Bakhlið Midi U16/U32, 126000",skipped_existing,,,,/static/inventory_images/products/iskraft_6.webp
7,"Vinnut.Blá Bakhlið Mini 16/32, 35000,",skipped_existing,,,,/static/inventory_images/products/iskraft_7.webp
8,"Vinnut.Blá Framhlið Midi 32//431,Midi , 126001 (4 Schucko)",skipped_existing,,,,/static/inventory_images/products/iskraft_8.webp
9,"Vinnut.Blá Framhlið Midi 32//811, Á Mini, 126003, 8-schucko",skipped_existing,,,,/static/inventory_images/products/iskraft_9.webp
10,"Vinnut.Blá Framhlið Mini 7 16/32, 35003",skipped_existing,,,,/static/inventory_images/products/iskraft_10.webp
11,"Vinnut.Fótur F.Midi/Mini Vinnutöflur , Passa Bæði F.Mini Og",skipped_existing,,,,/static/inventory_images/products/iskraft_11.webp
12,"Vinnut.Innkló 5p.16a 416bu6,Cewe, 5p. 16a Inntakskló Í El-bj",skipped_existing,,,,/static/inventory_images/products/iskraft_12.webp
13,"Vinnut.Innkló 5p.32a 432bu6,Cewe, 5p. 32a Inntakskló Í El-bj",skipped_existing,,,,/static/inventory_images/products/iskraft_13.webp
14,"Vinnut.Lok/Hlíf Á Tenglat.Midi/Mini, Bara Lokið, Ekki Fótur",skipped_existing,,,,/static/inventory_images/products/iskraft_14.webp
15,"Vinnut.Tengill 16a M/Jörð Uif 10/16, 1x16a Tengill Í Vinnutö",skipped_existing,,,,/static/inventory_images/products/iskraft_15.webp
16,"Vinnut.Tengill 5p.16a 416ram6,Hallandi, 5p.16a Tengill Í El-",skipped_existing,,,,/static/inventory_images/products/iskraft_16.webp
17,"Vinnut.Tengill 5p.16a 416ru6,Cewe, 5p. 16a Tengill Í El-björ",skipped_existing,,,,/static/inventory_images/products/iskraft_17.webp
18,"Vinnut.Tengill 5p.32a 432ru6,Cewe, 5p. 32a Tengill Í El-björ",skipped_existing,,,,/static/inventory_images/products/iskraft_18.webp
19,"Vinnut.Tengill 5p.63a 463ru6,Cewe, Vart",skipped_existing,,,,/static/inventory_images/products/iskraft_19.webp
20,"Vinnut.Varhlíf 35016-kc F.Sf125, Uc63 , M.Öxul Og Fjöður, F.",skipped_existing,,,,/static/inventory_images/products/iskraft_20.webp
21,"Vinnut.Varhlíf 40016-k  F.Midi 14mod., 14 Eininga,F. Up63a T",skipped_existing,,,,/static/inventory_images/products/iskraft_21.webp
22,"Vinnut.Varhlífa Lok Midi 126016k, F.U16 Og U32 Midi. Vart",skipped_existing,,,,/static/inventory_images/products/iskraft_22.webp
23,"Vinnutafla G-box 2468803 32a Fastt.63a, Út 5p32+2x5p16+5x16a",skipped_existing,,,,/static/inventory_images/products/iskraft_23.webp
24,"Vinnutafla Maxi Sf125//3132-402 125a, 3st.5p32a-2st. 5p63a",skipped_existing,,,,/static/inventory_images/products/iskraft_24.webp
25,"Vinnutafla Maxi U63cm//6321-401 Skápur, 5x63a/Út= 5p63a/2x5p",skipped_existing,,,,/static/inventory_images/products/iskraft_25.webp
26,"Vinnutafla Midi U32//431-1en M.Lekaliða, 32a Inn/Út=3st.5x16",skipped_existing,,,,/static/inventory_images/products/iskraft_26.webp
27,"Vinnutafla Midi U32//811-1en 8x16a, 32a Inn/Út=1st.5x16a 1st",skipped_existing,,,,/static/inventory_images/products/iskraft_27.webp
28,"Vinnutafla Mini U16//42-1en M. Lekaliða, 2stk.5x16a Út; 4stk",skipped_existing,,,,/static/inventory_images/products/iskraft_28.webp
29,"Vinnutafla Mini U32//411-1 M. Lekalið, 1stk.5x32a;1stk.5x16a",skipped_existing,,,,/static/inventory_images/products/iskraft_29.webp
30,Vinnutafla Turn U32s//611-2 En Ip44 32a,skipped_existing,,,,/static/inventory_images/products/iskraft_30.webp
31,"Vinnutafla Turn U63s//6211-301 En Ip44, 5x63a Út= 5p63a/1x5p",skipped_existing,,,,/static/inventory_images/products/iskraft_31.webp
