Main_category,Sub_category,Item,Conditions,Effective_date,Unit_cost
ALMENNT,Aðstöðusköpun,Fjarlæging verkbús og lokahreinsun,heildarverð,01.01.2020,0
ALMENNT,Aðstöðusköpun,ÖHU&V kröfur,heildarverð,01.01.2020,0
ALMENNT,Aðstöðusköpun,Rekstur verkbús,heildarverð,01.01.2020,0
ALMENNT,Aðstöðusköpun,Samkvæmt verklýsingu,heildarverð,01.07.2024,0
ALMENNT,Aðstöðusköpun,Uppsetning verkbús,heildarverð,01.01.2020,0
ALMENNT,Almennt fyrir kerfi,Forritun,heildarverð,01.10.2024,0
ALMENNT,Almennt fyrir kerfi,Gangsetning,heildarverð,30.06.2026,0
ALMENNT,Almennt fyrir kerfi,Handbók,heildarverð,30.06.2026,0
ALMENNT,Almennt fyrir kerfi,Hönnun,heildarverð,30.06.2026,0
ALMENNT,Almennt fyrir kerfi,Kennsla,heildarverð,30.06.2026,0
ALMENNT,Almennt fyrir kerfi,Mælingar og prófanir,heildarverð,30.06.2026,0
ALMENNT,Almennt fyrir kerfi,Merkingar,heildarverð,01.10.2019,0
ALMENNT,Almennt fyrir kerfi,Reyndarteikningar,heildarverð,30.06.2026,0
ALMENNT,Almennt fyrir kerfi,Úttekt,heildarverð,30.06.2026,0
ALMENNT,Almennt fyrir kerfi,Virknilýsing,heildarverð,30.06.2026,0
ALMENNT,Almennt fyrir kerfi,Yfirlitsmynd,heildarverð,01.09.2024,0
ALMENNT,Óskilgreindir safnliðir,óskilgreindur safnliður,heildarverð,01.07.2024,0
ALMENNT,Samskipti,Samráð við lóðarverktaka vegna raflagna,heildarverð,01.07.2024,0
ALMENNT,Stál,Stál fyrir undirstöður rafbúnaðar,heildarverð pr. kg.,01.01.2020,0
ALMENNT,Tækjagjöld,Beltavél,heildarverð pr. klst. ,01.01.2020,0
ALMENNT,Tækjagjöld,Flutningabíll,heildarverð pr. klst. ,01.01.2020,0
ALMENNT,Tækjagjöld,Malarflutningabíll,heildarverð pr. klst. ,01.01.2020,0
ALMENNT,Tækjagjöld,Mini grafa,heildarverð pr. klst. ,01.01.2020,0
ALMENNT,Tækjagjöld,Sendibíll,heildarverð pr. klst. ,01.01.2020,0
ALMENNT,Tækjagjöld,Skotbómulyftari,heildarverð pr. klst. ,01.01.2020,0
ALMENNT,Tækjagjöld,Titurþjappa,heildarverð pr. klst. ,01.01.2020,0
ALMENNT,Tækjagjöld,Traktorsgrafa,heildarverð pr. klst. ,01.01.2020,0
ALMENNT,Tækjagjöld,Vörubíll stór með krana,heildarverð pr. klst. ,01.01.2020,0
ALMENNT,Tímagjöld fyrir aukavinnu,Bílstjóri,heildarverð pr. klst.,01.01.2020,0
ALMENNT,Tímagjöld fyrir aukavinnu,Erlendur sérfræðingur M.Sc. eða B.Sc.,heildarverð pr. klst.,01.01.2020,0
ALMENNT,Tímagjöld fyrir aukavinnu,Forritari,heildarverð pr. klst.,23.12.2025,0
ALMENNT,Tímagjöld fyrir aukavinnu,Iðnaðarmaður,heildarverð pr. klst.,01.01.2020,0
ALMENNT,Tímagjöld fyrir aukavinnu,Innlendur sérfræðingur M.Sc. eða B.Sc.,heildarverð pr. klst.,01.01.2020,0
ALMENNT,Tímagjöld fyrir aukavinnu,Nemi,heildarverð pr. klst. ,01.01.2020,0
ALMENNT,Tímagjöld fyrir aukavinnu,Verkamaður,heildarverð pr. klst.,01.01.2020,0
ALMENNT,Tímagjöld fyrir aukavinnu,Verkstjóri,heildarverð pr. klst.,01.01.2020,0
LAGNALEIÐIR,Beygjur fyrir rör,Beygja hituð 110 mm,-,18.10.2019,3.65
LAGNALEIÐIR,Beygjur fyrir rör,Beygja hituð 25 mm,-,01.12.2007,0.4
LAGNALEIÐIR,Beygjur fyrir rör,Beygja hituð 32 mm,-,01.12.2007,0.5
LAGNALEIÐIR,Beygjur fyrir rör,Beygja hituð 40 mm,-,01.12.2007,1
LAGNALEIÐIR,Beygjur fyrir rör,Beygja hituð 50 mm,-,01.12.2007,1.6
LAGNALEIÐIR,Beygjur fyrir rör,Beygja hituð 60 mm,-,01.12.2007,1.96
LAGNALEIÐIR,Beygjur fyrir rör,Beygja hituð 75 mm,-,01.12.2007,2.4
LAGNALEIÐIR,Beygjur fyrir rör,Beygja hituð 90 mm,-,01.01.2000,2.94
LAGNALEIÐIR,Beygjur fyrir rör,Beygja í sérlögn 110 mm,-,04.10.2019,1.18
LAGNALEIÐIR,Beygjur fyrir rör,Beygja í sérlögn 16-20 mm,-,01.12.2007,0.19
LAGNALEIÐIR,Beygjur fyrir rör,Beygja í sérlögn 25 mm,-,01.12.2007,0.23
